County,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Stephens ,7.30%,4.40%,4.20%,5.60%,6.50%,3.40%,3.60%,5.00%,5.20%,4.70%,4.00%,3.60%,3.70%,3.40%,7.70%,7.00%,5.50%,4.90%,5.50%,4.60%,6.00%,9.70%
Texas ,2.70%,2.40%,2.40%,2.70%,2.20%,2.60%,2.70%,3.40%,3.60%,3.40%,3.70%,3.40%,3.20%,2.70%,5.40%,5.50%,5.10%,4.20%,4.40%,3.70%,3.20%,3.50%
Tillman ,5.50%,4.60%,5.40%,5.40%,4.30%,3.30%,4.10%,4.20%,4.70%,4.80%,4.90%,4.40%,4.70%,4.10%,7.30%,6.10%,5.90%,4.80%,5.50%,4.70%,4.30%,4.50%
Tulsa ,4.00%,3.30%,3.40%,3.20%,3.40%,2.80%,3.30%,5.00%,6.00%,4.90%,4.20%,3.90%,3.90%,3.60%,6.80%,7.50%,6.70%,5.20%,5.20%,4.30%,4.10%,4.70%
Wagoner ,3.90%,3.10%,3.10%,3.20%,2.80%,2.60%,3.00%,4.30%,5.60%,4.80%,4.10%,3.70%,3.80%,3.60%,6.80%,7.20%,6.50%,5.20%,5.10%,4.20%,4.20%,4.80%
Washington ,5.60%,4.90%,3.90%,3.80%,4.20%,3.10%,3.20%,4.40%,5.40%,5.10%,4.20%,3.50%,3.50%,3.00%,5.70%,5.80%,5.10%,4.80%,4.90%,4.30%,4.30%,4.90%
Washita ,3.30%,3.30%,3.30%,4.10%,3.90%,2.70%,2.90%,3.70%,3.80%,3.40%,3.40%,3.40%,3.00%,2.70%,5.90%,5.30%,4.20%,4.00%,4.20%,3.50%,5.50%,7.20%
Woods ,2.10%,2.60%,2.60%,2.80%,2.00%,2.50%,2.70%,8.30%,9.70%,7.20%,6.90%,5.70%,5.90%,2.80%,4.40%,4.30%,3.70%,2.80%,3.30%,2.70%,2.70%,3.30%
Woodward ,4.80%,4.40%,4.20%,5.00%,6.00%,3.00%,2.90%,4.20%,4.50%,3.70%,3.40%,2.70%,2.60%,2.20%,6.50%,5.80%,4.00%,3.50%,3.60%,3.10%,5.10%,6.30%
National,5.60%,5.40%,4.90%,4.50%,4.20%,4.00%,4.70%,5.80%,6.00%,5.50%,5.10%,4.60%,4.60%,5.80%,9.30%,9.60%,8.90%,8.10%,7.40%,6.20%,5.30%,4.90%
